// For documentation see - Map_Content_Documentation.txt
//=====================================================================================



1 0	mcl_core:stone
1 1	mcl_core:granite
1 2	mcl_core:granite_smooth
1 3	mcl_core:diorite		
1 4	mcl_core:diorite_smooth
1 5	mcl_core:andesite		
1 6	mcl_core:andesite_smooth

2	mcl_core:dirt_with_grass
3 0	mcl_core:dirt
3 1	mcl_core:coarse_dirt
3 2	mcl_core:podzol
4	mcl_core:cobble


5 0	mcl_core:wood
5 1	mcl_core:sprucewood
5 2	mcl_core:birchwood
5 3	mcl_core:junglewood
5 4	mcl_core:acaciawood
5 5	mcl_core:darkwood

6 0	mcl_core:sapling
6 1	mcl_core:sprucesapling
6 2	mcl_core:birchsapling
6 3	mcl_core:junglesapling
6 4	mcl_core:acaciasapling
6 5	mcl_core:darksapling
6 8	mcl_core:sapling
6 9	mcl_core:sprucesapling
6 10	mcl_core:birchsapling
6 11	mcl_core:junglesapling
6 12	mcl_core:acaciasapling
6 13	mcl_core:darksapling


7	mcl_core:bedrock

// blocks 8, 9, 10 and 11 (water and lava) are handled in code.
8	mcl_core:water_flowing
9	mcl_core:water_source
10	mcl_core:lava_flowing
11	mcl_core:lava_source

12 0	mcl_core:sand
12 1	mcl_core:redsand
13	mcl_core:gravel
14	mcl_core:stone_with_gold
15	mcl_core:stone_with_iron
16	mcl_core:stone_with_coal


17 0	mcl_core:tree 0
17 1	mcl_core:sprucetree 0
17 2	mcl_core:birchtree 0
17 3	mcl_core:jungletree 0
17 4	mcl_core:tree 18
17 5	mcl_core:sprucetree 18
17 6	mcl_core:birchtree 18
17 7	mcl_core:jungletree 18
17 8	mcl_core:tree 9
17 9	mcl_core:sprucetree 9
17 10	mcl_core:birchtree 9
17 11	mcl_core:jungletree 9
//bark only versions
17 12	mcl_core:tree_bark
17 13	mcl_core:sprucetree_bark
17 14	mcl_core:birchtree_bark
17 15	mcl_core:jungletree_bark

18 0,8	mcl_core:leaves
18 4,12	mcl_core:leaves 1
18 1,9	mcl_core:spruceleaves
18 5,13	mcl_core:spruceleaves 1
18 2,10	mcl_core:birchleaves
18 6,14	mcl_core:birchleaves 1
18 3,11	mcl_core:jungleleaves
18 7,15	mcl_core:jungleleaves 1

161 0,8	mcl_core:acacialeaves
161 4,12	mcl_core:acacialeaves 1
161 1,9	mcl_core:darkleaves
161 5,13	mcl_core:darkleaves 1
162 0	mcl_core:acaciatree 0
162 1	mcl_core:darktree 0
162 4	mcl_core:acaciatree 18
162 5	mcl_core:darktree 18
162 8	mcl_core:acaciatree 9
162 9	mcl_core:darktree 9
//bark only versions
162 12	mcl_core:acaciatree_bark
162 13	mcl_core:darktree_bark



19 0	mcl_sponges:sponge
19 1	mcl_sponges:sponge_wet
20	mcl_core:glass
21	mcl_core:stone_with_lapis
22	mcl_core:lapisblock

23 0	mcl_dispensers:dispenser_down
23 1	mcl_dispensers:dispenser_up
23 2	mcl_dispensers:dispenser 2
23 3	mcl_dispensers:dispenser 0
23 4	mcl_dispensers:dispenser 1
23 5	mcl_dispensers:dispenser 3
23 8	mcl_dispensers:dispenser_down
23 9	mcl_dispensers:dispenser_up
23 10	mcl_dispensers:dispenser 2
23 11	mcl_dispensers:dispenser 0
23 12	mcl_dispensers:dispenser 1
